raw_label	aadr_isogg	tree_label
R-FGC49766	R1b1a1b1a1a2c1a1b	R1b1a1b1a1a2c1a1b
R-FGC5494	R1b1a1b1a1a2c1a6	R1b1a1b1a1a2c1a6
R-L151	R1b1a1b1a1a	R1b1a1b1a1a
R-L151 > A8053	R1b1a1b1a1a4	R1b1a1b1a1a4
R-L151 > P312 > DF27 > ZZ12 > Y30817	R1b1a1b1a1a2a (R-DF27)	R1b1a1b1a1a2a (R-DF27)
R-L2	R1b1a1b1a1a2b1	R1b1a1b1a1a2b1
R-L2 > DF110 > BY42653	R1b1a1b1a1a2b1 (R-L2)	R1b1a1b1a1a2b1 (R-L2)
R-L20	R1b1a1b1a1a2b1	R1b1a1b1a1a2b1
R-L21	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-L448	R1a1a1b1a3a1	R1a1a1b1a3a1
R-L51	R1b1a1b1a	R1b1a1b1a
R-L52	R1b1a1b1a1	R1b1a1b1a1
R-L617	R1b1a1b1a1a2a2a	R1b1a1b1a1a2a2a
R-L754	R1b	R1b
R-M269	R1b1a1b	R1b1a1b
R-P297	R1b1a1	R1b1a1
R-P312	R1b1a1b1a1a2	R1b1a1b1a1a2
R-P312 > DF19 > Z302	R1b1a1b1a1a2e2	R1b1a1b1a1a2e2
R-P312 > U152 > L2	R1b1a1b1a1a2b1	R1b1a1b1a1a2b1
R-PF6475,R-M269	R1b1a2	R1b1a2
R-S1051	R1b1a1b1a1a2c1a1i	R1b1a1b1a1a2c1a1i
R-S1088	R1b1a1b1a1a2c1a6a1	R1b1a1b1a1a2c1a6a1
R-S1200	R1b1a1b1a1a	R1b1a1b1a1a
R-S14469	R1b1a1b1a1a2b1	R1b1a1b1a1a2b1
R-S261	R1b1a1b1a1a1b	R1b1a1b1a1a1b
R-S264	R1b1a1b1a1a1c1	R1b1a1b1a1a1c1
R-S2880	R1a1a1a1d1~	R1a1a1a1d1~
R-S3207	R1b1a1b1a1a	R1b1a1b1a1a
R-S375	R1b1a1b1a1a1b1a	R1b1a1b1a1a1b1a
R-S4268	R1b1a1b1a1a2e1	R1b1a1b1a1a2e1
R-S461	R1b1a1b1a1a2c	R1b1a1b1a1a2c
R-S493	R1b1a1b1a1a1b	R1b1a1b1a1a1b
R-S5488	R1b1a1b1a1a2c1a5c	R1b1a1b1a1a2c1a5c
R-S5668	R1b1a1b1a1a2c1a2a	R1b1a1b1a1a2c1a2a
R-S6790	R1a1a1b1a3a1a3b2~	R1a1a1b1a3a1a3b2~
R-S7402	R1b1a1b1a1a2b1c1b	R1b1a1b1a1a2b1c1b
R-Y11273	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Y12651	R1b1a1b1a1a2c1a5b1a1a2	R1b1a1b1a1a2c1a5b1a1a2
R-Y14529	R1b1a1b1a1a2a	R1b1a1b1a1a2a
R-Y17997	R1b1a1b1a1a2b1	R1b1a1b1a1a2b1
R-Y22190	R1b1a1b1a1a2b1	R1b1a1b1a1a2b1
R-Y2890	R1b1a1b1a1a2c1a5	R1b1a1b1a1a2c1a5
R-Y30608	R1b1a1b1a1a2a1b1a1a~	R1b1a1b1a1a2a1b1a1a~
R-Y30754	R1b1a1b1a1a2a	R1b1a1b1a1a2a
R-Y3267	R1b1a1b1a1a2a	R1b1a1b1a1a2a
R-Y3470	R1b1a1b1a1a2a1a2	R1b1a1b1a1a2a1a2
R-Y5305	R1b1a1b1a1a2c1a1h	R1b1a1b1a1a2c1a1h
R-Y83965	R1b1a1b	R1b1a1b
R-Y85515	R1b1a1b1a1a2a	R1b1a1b1a1a2a
R-YP1187	R1a1a1	R1a1a1
R-YP1395	R1a1a1	R1a1a1
R-Z16436	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Z16887	R1b1a1b1a1a2c1a1k	R1b1a1b1a1a2c1a1k
R-Z2185	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Z2186	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Z2245	R1b1a1b1a1a2d1	R1b1a1b1a1a2d1
R-Z251	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Z253	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Z2534	R1b1a1b1a1a2c1	R1b1a1b1a1a2c1
R-Z260	R1b1a1b1a1a2c	R1b1a1b1a1a2c
R-Z2961	R1b1a1b1a1a2c1a1a1a1a	R1b1a1b1a1a2c1a1a1a1a
R-Z30597	R1b1a1b1a1a2	R1b1a1b1a1a2
R-Z330	R1b1a1b1a1a1c2b	R1b1a1b1a1a1c2b
R-Z53	R1b1a1b1a1a2b1c1a1a1	R1b1a1b1a1a2b1c1a1a1
R-Z645	R1a1a1	R1a1a1
R-Z7	R1b1a1b1a1a1c2b	R1b1a1b1a1a1c2b
R1b-V1636	R1b1a2	R1b1a2
S205	R1a1a1b1a2a	R1a1a1b1a2a
S2205	I1a2a1a1a1b	I1a2a1a1a1b
S228/Z198	R1b1a1b1a1a2a1b	R1b1a1b1a1a2a1b
Y11941	Q1b1a3b	Q1b1a3b
Y16310	N1a1a1a1a3a	N1a1a1a1a3a
Y50	R1a1a1b2a2b2~	R1a1a1b2a2b2~
Y7240	I2a1b1a1b2	I2a1b1a1b2
YP817	Q1a2a1a4a~	Q1a2a1a4a~
Z141	I1a2a1a1a	I1a2a1a1a
Z195	R1b1a1b1a1a2a1	R1b1a1b1a1a2a1
Z195/S227	R1b1a1b1a1a2a1	R1b1a1b1a1a2a1
Z2123	R1a1a1b2a2a1	R1a1a1b2a2a1
n/a  (sex unknown)	n/a  (sex unknown)	n/a  (sex unknown)
n/a (female)	n/a (female)	n/a (female)
n/a(Female)	n/a(Female)	n/a(Female)
n/a(SexUnknown)	n/a(SexUnknown)	n/a(SexUnknown)
